model,interest_rate,loan_amount,loan_term,run_code,expected_answer,actual_answer,question_number
gpt-5,1,600000,15,True,3590.97,3590.97,1
gpt-5,1,600000,15,False,3590.97,3590.97,1
gpt-5,1,600000,15,False,3590.97,3590.97,1
gpt-5,1,600000,15,False,3590.97,3590.97,1
gpt-5,1,600000,15,False,3590.97,3591.02,1
gpt-5,1,600000,15,False,3590.97,3590.97,1
gpt-5,1,600000,30,True,1929.84,1929.84,1
gpt-5,1,600000,30,True,1929.84,1929.84,1
gpt-5,1,600000,30,True,1929.84,1929.84,1
gpt-5,1,600000,30,True,1929.84,1929.84,1
gpt-5,1,600000,30,True,1929.84,1929.84,1
gpt-5,1,600000,30,False,1929.84,1929.84,1
gpt-5,1,600000,30,False,1929.84,1929.86,1
gpt-5,1,600000,30,False,1929.84,1929.84,1
gpt-5,1,600000,30,False,1929.84,1929.84,1
gpt-5,1,600000,30,False,1929.84,1929.84,1
gpt-5,1,700000,15,True,4189.46,4189.46,1
gpt-5,1,700000,15,True,4189.46,4189.46,1
gpt-5,1,700000,15,True,4189.46,4189.46,1
gpt-5,1,700000,15,True,4189.46,4189.46,1
gpt-5,1,700000,15,True,4189.46,4189.46,1
gpt-5,1,700000,15,False,4189.46,4189.46,1
gpt-5,1,700000,15,False,4189.46,4189.46,1
gpt-5,1,700000,15,False,4189.46,4189.46,1
gpt-5,1,700000,15,False,4189.46,4189.46,1
gpt-5,1,700000,15,False,4189.46,4189.46,1
gpt-5,1,700000,30,True,2251.48,2251.48,1
gpt-5,1,700000,30,True,2251.48,2251.48,1
gpt-5,1,700000,30,True,2251.48,2251.48,1
gpt-5,1,700000,30,True,2251.48,2251.48,1
gpt-5,1,700000,30,True,2251.48,2251.48,1
gpt-5,1,700000,30,False,2251.48,2251.48,1
gpt-5,1,700000,30,False,2251.48,2251.48,1
gpt-5,1,700000,30,False,2251.48,2251.48,1
gpt-5,1,700000,30,False,2251.48,2251.48,1
gpt-5,1,700000,30,False,2251.48,2251.48,1
gpt-5,1,800000,15,True,4787.96,4787.96,1
gpt-5,1,800000,15,True,4787.96,4787.96,1
gpt-5,1,800000,15,True,4787.96,4787.96,1
gpt-5,1,800000,15,True,4787.96,4787.96,1
gpt-5,1,800000,15,True,4787.96,4787.96,1
gpt-5,1,800000,15,False,4787.96,4787.96,1
gpt-5,1,800000,15,False,4787.96,4787.96,1
gpt-5,1,800000,15,False,4787.96,4787.96,1
gpt-5,1,800000,15,False,4787.96,4787.96,1
gpt-5,1,800000,15,False,4787.96,4787.96,1
gpt-5,1,800000,30,True,2573.12,2573.12,1
gpt-5,1,800000,30,True,2573.12,2573.12,1
gpt-5,1,800000,30,True,2573.12,2573.12,1
gpt-5,1,800000,30,True,2573.12,2573.12,1
gpt-5,1,800000,30,True,2573.12,2573.12,1
gpt-5,1,800000,30,False,2573.12,2573.12,1
gpt-5,1,800000,30,False,2573.12,2573.12,1
gpt-5,1,800000,30,False,2573.12,2573.12,1
gpt-5,1,800000,30,False,2573.12,2573.12,1
gpt-5,1,800000,30,False,2573.12,2573.12,1
gpt-5,1,900000,15,True,5386.45,5386.45,1
gpt-5,1,900000,15,True,5386.45,5386.45,1
gpt-5,1,900000,15,True,5386.45,5386.45,1
gpt-5,1,900000,15,True,5386.45,5386.45,1
gpt-5,1,900000,15,True,5386.45,5386.45,1
gpt-5,1,900000,15,False,5386.45,5386.45,1
gpt-5,1,900000,15,False,5386.45,5386.45,1
gpt-5,1,900000,15,False,5386.45,5386.45,1
gpt-5,1,900000,15,False,5386.45,5386.45,1
gpt-5,1,900000,15,False,5386.45,5386.45,1
gpt-5,1,900000,30,True,2894.76,2894.76,1
gpt-5,1,900000,30,True,2894.76,2894.76,1
gpt-5,1,900000,30,True,2894.76,2894.76,1
gpt-5,1,900000,30,True,2894.76,2894.76,1
gpt-5,1,900000,30,True,2894.76,2894.76,1
gpt-5,1,900000,30,False,2894.76,2894.76,1
gpt-5,1,900000,30,False,2894.76,2894.76,1
gpt-5,1,900000,30,False,2894.76,2894.75,1
gpt-5,1,900000,30,False,2894.76,2894.76,1
gpt-5,1,900000,30,False,2894.76,2894.76,1
gpt-5,1,1000000,15,True,5984.95,5984.95,1
gpt-5,1,1000000,15,True,5984.95,5984.95,1
gpt-5,1,1000000,15,True,5984.95,5984.95,1
gpt-5,1,1000000,15,True,5984.95,5984.95,1
gpt-5,1,1000000,15,True,5984.95,5984.95,1
gpt-5,1,1000000,15,False,5984.95,5984.95,1
gpt-5,1,1000000,15,False,5984.95,5984.94,1
gpt-5,1,1000000,15,False,5984.95,5984.96,1
gpt-5,1,1000000,15,False,5984.95,5984.946940992,1
gpt-5,1,1000000,15,False,5984.95,5984.95,1
gpt-5,1,1000000,30,True,3216.4,3216.4,1
gpt-5,1,1000000,30,True,3216.4,3216.4,1
gpt-5,1,1000000,30,True,3216.4,3216.4,1
gpt-5,1,1000000,30,True,3216.4,3216.4,1
gpt-5,1,1000000,30,True,3216.4,3216.4,1
gpt-5,1,1000000,30,False,3216.4,3216.4,1
gpt-5,1,1000000,30,False,3216.4,3216.4,1
gpt-5,1,1000000,30,False,3216.4,3216.4,1
gpt-5,1,1000000,30,False,3216.4,3216.4,1
gpt-5,1,1000000,30,False,3216.4,3216.4,1
gpt-5,1,1100000,15,True,6583.44,6583.44,1
gpt-5,1,1100000,15,True,6583.44,6583.44,1
gpt-5,1,1100000,15,True,6583.44,6583.44,1
gpt-5,1,1100000,15,True,6583.44,6583.44,1
gpt-5,1,1100000,15,True,6583.44,6583.44,1
gpt-5,1,1100000,15,False,6583.44,6583.47,1
gpt-5,1,1100000,15,False,6583.44,6583.44,1
gpt-5,1,1100000,15,False,6583.44,6583.44,1
gpt-5,1,1100000,15,False,6583.44,6583.44,1
gpt-5,1,1100000,15,False,6583.44,6583.44,1
gpt-5,1,1100000,30,True,3538.03,3538.03,1
gpt-5,1,1100000,30,True,3538.03,3538.03,1
gpt-5,1,1100000,30,True,3538.03,3538.03,1
gpt-5,1,1100000,30,True,3538.03,3538.03,1
gpt-5,1,1100000,30,True,3538.03,3538.03,1
gpt-5,1,1100000,30,False,3538.03,3538.04,1
gpt-5,1,1100000,30,False,3538.03,3538.03,1
gpt-5,1,1100000,30,False,3538.03,3538.03,1
gpt-5,1,1100000,30,False,3538.03,3538.03,1
gpt-5,1,1100000,30,False,3538.03,3538.04,1
gpt-5,1,1200000,15,True,7181.93,7181.93,1
gpt-5,1,1200000,15,True,7181.93,7181.93,1
gpt-5,1,1200000,15,True,7181.93,7181.93,1
gpt-5,1,1200000,15,True,7181.93,7181.93,1
gpt-5,1,1200000,15,True,7181.93,7181.93,1
gpt-5,1,1200000,15,False,7181.93,7181.93,1
gpt-5,1,1200000,15,False,7181.93,7181.93,1
gpt-5,1,1200000,15,False,7181.93,7181.9,1
gpt-5,1,1200000,15,False,7181.93,7181.94,1
gpt-5,1,1200000,15,False,7181.93,7181.94,1
gpt-5,1,1200000,30,True,3859.67,3859.67,1
gpt-5,1,1200000,30,True,3859.67,3859.67,1
gpt-5,1,1200000,30,True,3859.67,3859.67,1
gpt-5,1,1200000,30,True,3859.67,3859.67,1
gpt-5,1,1200000,30,True,3859.67,3859.67,1
gpt-5,1,1200000,30,False,3859.67,3859.67,1
gpt-5,1,1200000,30,False,3859.67,3859.68,1
gpt-5,1,1200000,30,False,3859.67,3859.68,1
gpt-5,1,1200000,30,False,3859.67,3859.68,1
gpt-5,1,1200000,30,False,3859.67,3859.67,1
gpt-5,2,300000,15,True,1930.53,1930.53,1
gpt-5,2,300000,15,True,1930.53,1930.53,1
gpt-5,2,300000,15,True,1930.53,1930.53,1
gpt-5,2,300000,15,True,1930.53,1930.53,1
gpt-5,2,300000,15,True,1930.53,1930.53,1
gpt-5,2,300000,15,False,1930.53,1930.53,1
gpt-5,2,300000,15,False,1930.53,1930.53,1
gpt-5,2,300000,15,False,1930.53,1930.53,1
gpt-5,2,300000,15,False,1930.53,1930.53,1
gpt-5,2,300000,15,False,1930.53,1930.53,1
gpt-5,2,300000,30,True,1108.86,1108.86,1
gpt-5,2,300000,30,True,1108.86,1108.86,1
gpt-5,2,300000,30,True,1108.86,1108.86,1
gpt-5,2,300000,30,True,1108.86,1108.86,1
gpt-5,2,300000,30,True,1108.86,1108.86,1
gpt-5,2,300000,30,False,1108.86,1108.86,1
gpt-5,2,300000,30,False,1108.86,1108.86,1
gpt-5,2,300000,30,False,1108.86,1108.86,1
gpt-5,2,300000,30,False,1108.86,1108.86,1
gpt-5,2,300000,30,False,1108.86,1108.86,1
gpt-5,2,400000,15,True,2574.03,2574.03,1
gpt-5,2,400000,15,True,2574.03,2574.03,1
gpt-5,2,400000,15,True,2574.03,2574.03,1
gpt-5,2,400000,15,True,2574.03,2574.03,1
gpt-5,2,400000,15,True,2574.03,2574.03,1
gpt-5,2,400000,15,False,2574.03,2574.04,1
gpt-5,2,400000,15,False,2574.03,2574.03,1
gpt-5,2,400000,15,False,2574.03,2574.03,1
gpt-5,2,400000,15,False,2574.03,2574.04,1
gpt-5,2,400000,15,False,2574.03,2574.03,1
gpt-5,2,400000,30,True,1478.48,1478.48,1
gpt-5,2,400000,30,True,1478.48,1478.48,1
gpt-5,2,400000,30,True,1478.48,1478.48,1
gpt-5,2,400000,30,True,1478.48,1478.48,1
gpt-5,2,400000,30,True,1478.48,1478.48,1
gpt-5,2,400000,30,False,1478.48,1478.48,1
gpt-5,2,400000,30,False,1478.48,1478.48,1
gpt-5,2,400000,30,False,1478.48,1478.48,1
gpt-5,2,400000,30,False,1478.48,1478.48,1
gpt-5,2,400000,30,False,1478.48,1478.48,1
gpt-5,2,500000,15,True,3217.54,3217.54,1
gpt-5,2,500000,15,True,3217.54,3217.54,1
gpt-5,2,500000,15,True,3217.54,3217.54,1
gpt-5,2,500000,15,True,3217.54,3217.54,1
gpt-5,2,500000,15,True,3217.54,3217.54,1
gpt-5,2,500000,15,False,3217.54,3217.54,1
gpt-5,2,500000,15,False,3217.54,3217.54,1
gpt-5,2,500000,15,False,3217.54,3217.54,1
gpt-5,2,500000,15,False,3217.54,3217.54,1
gpt-5,2,500000,15,False,3217.54,3217.54,1
gpt-5,2,500000,30,True,1848.1,1848.1,1
gpt-5,2,500000,30,True,1848.1,1848.1,1
gpt-5,2,500000,30,True,1848.1,1848.1,1
gpt-5,2,500000,30,True,1848.1,1848.1,1
gpt-5,2,500000,30,True,1848.1,1848.1,1
gpt-5,2,500000,30,False,1848.1,1848.1,1
gpt-5,2,500000,30,False,1848.1,1848.1,1
gpt-5,2,500000,30,False,1848.1,1848.1,1
gpt-5,2,500000,30,False,1848.1,1848.1,1
gpt-5,2,500000,30,False,1848.1,1848.1,1
gpt-5,2,600000,15,True,3861.05,3861.05,1
gpt-5,2,600000,15,True,3861.05,3861.05,1
gpt-5,2,600000,15,True,3861.05,3861.05,1
gpt-5,2,600000,15,True,3861.05,3861.05,1
gpt-5,2,600000,15,True,3861.05,3861.05,1
gpt-5,2,600000,15,False,3861.05,3861.05,1
gpt-5,2,600000,15,False,3861.05,3861.05,1
gpt-5,2,600000,15,False,3861.05,3861.05,1
gpt-5,2,600000,15,False,3861.05,3861.05,1
gpt-5,2,600000,15,False,3861.05,3861.05,1
gpt-5,2,600000,30,True,2217.72,2217.72,1
gpt-5,2,600000,30,True,2217.72,2217.72,1
gpt-5,2,600000,30,True,2217.72,2217.72,1
gpt-5,2,600000,30,True,2217.72,2217.72,1
gpt-5,2,600000,30,True,2217.72,2217.72,1
gpt-5,2,600000,30,False,2217.72,2217.72,1
gpt-5,2,600000,30,False,2217.72,2217.72,1
gpt-5,2,600000,30,False,2217.72,2217.72,1
gpt-5,2,600000,30,False,2217.72,2217.72,1
gpt-5,2,600000,30,False,2217.72,2217.72,1
gpt-5,2,700000,15,True,4504.56,4504.56,1
gpt-5,2,700000,15,True,4504.56,4504.56,1
gpt-5,2,700000,15,True,4504.56,4504.56,1
gpt-5,2,700000,15,True,4504.56,4504.56,1
gpt-5,2,700000,15,True,4504.56,4504.56,1
gpt-5,2,700000,15,False,4504.56,4504.56,1
gpt-5,2,700000,15,False,4504.56,4504.56,1
gpt-5,2,700000,15,False,4504.56,4504.56,1
gpt-5,2,700000,15,False,4504.56,4504.56,1
gpt-5,2,700000,15,False,4504.56,4504.56,1
gpt-5,2,700000,30,True,2587.34,2587.34,1
gpt-5,2,700000,30,True,2587.34,2587.34,1
gpt-5,2,700000,30,True,2587.34,2587.34,1
gpt-5,2,700000,30,True,2587.34,2587.34,1
gpt-5,2,700000,30,True,2587.34,2587.34,1
gpt-5,2,700000,30,False,2587.34,2587.34,1
gpt-5,2,700000,30,False,2587.34,2587.34,1
gpt-5,2,700000,30,False,2587.34,2587.34,1
gpt-5,2,700000,30,False,2587.34,2587.34,1
gpt-5,2,700000,30,False,2587.34,2587.34,1
gpt-5,2,800000,15,True,5148.07,5148.07,1
gpt-5,2,800000,15,True,5148.07,5148.07,1
gpt-5,2,800000,15,True,5148.07,5148.07,1
gpt-5,2,800000,15,True,5148.07,5148.07,1
gpt-5,2,800000,15,True,5148.07,5148.07,1
gpt-5,2,800000,15,False,5148.07,5148.07,1
gpt-5,2,800000,15,False,5148.07,5148.09,1
gpt-5,2,800000,15,False,5148.07,5148.07,1
gpt-5,2,800000,15,False,5148.07,5148.07,1
gpt-5,2,800000,15,False,5148.07,5148.07,1
gpt-5,2,800000,30,True,2956.96,2956.96,1
gpt-5,2,800000,30,True,2956.96,2956.96,1
gpt-5,2,800000,30,True,2956.96,2956.96,1
gpt-5,2,800000,30,True,2956.96,2956.96,1
gpt-5,2,800000,30,True,2956.96,2956.96,1
gpt-5,2,800000,30,False,2956.96,2956.96,1
gpt-5,2,800000,30,False,2956.96,2956.96,1
gpt-5,2,800000,30,False,2956.96,2956.96,1
gpt-5,2,800000,30,False,2956.96,2956.96,1
gpt-5,2,800000,30,False,2956.96,2956.96,1
gpt-5,2,900000,15,True,5791.58,5791.58,1
gpt-5,2,900000,15,True,5791.58,5791.58,1
gpt-5,2,900000,15,True,5791.58,5791.58,1
gpt-5,2,900000,15,True,5791.58,5791.58,1
gpt-5,2,900000,15,True,5791.58,5791.58,1
gpt-5,2,900000,15,False,5791.58,5791.58,1
gpt-5,2,900000,15,False,5791.58,5791.58,1
gpt-5,2,900000,15,False,5791.58,5791.58,1
gpt-5,2,900000,15,False,5791.58,5791.58,1
gpt-5,2,900000,15,False,5791.58,5791.58,1
gpt-5,2,900000,30,True,3326.58,3326.58,1
gpt-5,2,900000,30,True,3326.58,3326.58,1
gpt-5,2,900000,30,True,3326.58,3326.58,1
gpt-5,2,900000,30,True,3326.58,3326.58,1
gpt-5,2,900000,30,True,3326.58,3326.58,1
gpt-5,2,900000,30,False,3326.58,3326.58,1
gpt-5,2,900000,30,False,3326.58,3326.58,1
gpt-5,2,900000,30,False,3326.58,3326.58,1
gpt-5,2,900000,30,False,3326.58,3326.58,1
gpt-5,2,900000,30,False,3326.58,3326.58,1
gpt-5,2,1000000,15,True,6435.09,6435.09,1
gpt-5,2,1000000,15,True,6435.09,6435.09,1
gpt-5,2,1000000,15,True,6435.09,6435.09,1
gpt-5,2,1000000,15,True,6435.09,6435.09,1
gpt-5,2,1000000,15,True,6435.09,6435.09,1
gpt-5,2,1000000,15,False,6435.09,6435.09,1
gpt-5,2,1000000,15,False,6435.09,6435.09,1
gpt-5,2,1000000,15,False,6435.09,6435.09,1
gpt-5,2,1000000,15,False,6435.09,6435.09,1
gpt-5,2,1000000,15,False,6435.09,6435.09,1
gpt-5,2,1000000,30,True,3696.19,3696.19,1
gpt-5,2,1000000,30,True,3696.19,3696.19,1
gpt-5,2,1000000,30,True,3696.19,3696.19,1
gpt-5,2,1000000,30,True,3696.19,3696.19,1
gpt-5,2,1000000,30,True,3696.19,3696.19,1
gpt-5,2,1000000,30,False,3696.19,3696.19,1
gpt-5,2,1000000,30,False,3696.19,3696.19,1
gpt-5,2,1000000,30,False,3696.19,3696.19,1
gpt-5,2,1000000,30,False,3696.19,3696.2,1
gpt-5,2,1000000,30,False,3696.19,3696.19,1
gpt-5,2,1100000,15,True,7078.6,7078.6,1
gpt-5,2,1100000,15,True,7078.6,7078.6,1
gpt-5,2,1100000,15,True,7078.6,7078.6,1
gpt-5,2,1100000,15,True,7078.6,7078.6,1
gpt-5,2,1100000,15,True,7078.6,7078.6,1
gpt-5,2,1100000,15,False,7078.6,7078.6,1
gpt-5,2,1100000,15,False,7078.6,7078.6,1
gpt-5,2,1100000,15,False,7078.6,7078.6,1
gpt-5,2,1100000,15,False,7078.6,7078.6,1
gpt-5,2,1100000,15,False,7078.6,7078.6,1
gpt-5,2,1100000,30,True,4065.81,4065.81,1
gpt-5,2,1100000,30,True,4065.81,4065.81,1
gpt-5,2,1100000,30,True,4065.81,4065.81,1
gpt-5,2,1100000,30,True,4065.81,4065.81,1
gpt-5,2,1100000,30,True,4065.81,4065.81,1
gpt-5,2,1100000,30,False,4065.81,4065.81,1
gpt-5,2,1100000,30,False,4065.81,4065.82,1
gpt-5,2,1100000,30,False,4065.81,4065.81,1
gpt-5,2,1100000,30,False,4065.81,4065.81,1
gpt-5,2,1100000,30,False,4065.81,4065.61,1
gpt-5,2,1200000,15,True,7722.1,7722.1,1
gpt-5,2,1200000,15,True,7722.1,7722.1,1
gpt-5,2,1200000,15,True,7722.1,7722.1,1
gpt-5,2,1200000,15,True,7722.1,7722.1,1
gpt-5,2,1200000,15,True,7722.1,7722.1,1
gpt-5,2,1200000,15,False,7722.1,7722.1,1
gpt-5,2,1200000,15,False,7722.1,7722.11,1
gpt-5,2,1200000,15,False,7722.1,7722.1,1
gpt-5,2,1200000,15,False,7722.1,7722.1,1
gpt-5,2,1200000,15,False,7722.1,7722.1,1
gpt-5,2,1200000,30,True,4435.43,4435.43,1
gpt-5,2,1200000,30,True,4435.43,4435.43,1
gpt-5,2,1200000,30,True,4435.43,4435.43,1
gpt-5,2,1200000,30,True,4435.43,4435.43,1
gpt-5,2,1200000,30,True,4435.43,4435.43,1
gpt-5,2,1200000,30,False,4435.43,4435.43,1
gpt-5,2,1200000,30,False,4435.43,4435.43,1
gpt-5,2,1200000,30,False,4435.43,4435.43,1
gpt-5,2,1200000,30,False,4435.43,4435.43,1
gpt-5,2,1200000,30,False,4435.43,4435.44,1
gpt-5,3,300000,15,True,2071.74,2071.74,1
gpt-5,3,300000,15,True,2071.74,2071.74,1
gpt-5,3,300000,15,True,2071.74,2071.74,1
gpt-5,3,300000,15,True,2071.74,2071.74,1
gpt-5,3,300000,15,True,2071.74,2071.74,1
gpt-5,3,300000,15,False,2071.74,2071.74,1
gpt-5,3,300000,15,False,2071.74,2071.74,1
gpt-5,3,300000,15,False,2071.74,2071.74,1
gpt-5,3,300000,15,False,2071.74,2071.74,1
gpt-5,3,300000,15,False,2071.74,2071.74,1
gpt-5,3,300000,30,True,1264.81,1264.81,1
gpt-5,3,300000,30,True,1264.81,1264.81,1
gpt-5,3,300000,30,True,1264.81,1264.81,1
gpt-5,3,300000,30,True,1264.81,1264.81,1
gpt-5,3,300000,30,True,1264.81,1264.81,1
gpt-5,3,300000,30,False,1264.81,1264.81,1
gpt-5,3,300000,30,False,1264.81,1264.81,1
gpt-5,3,300000,30,False,1264.81,1264.81,1
gpt-5,3,300000,30,False,1264.81,1264.81,1
gpt-5,3,300000,30,False,1264.81,1264.81,1
gpt-5,3,400000,15,True,2762.33,2762.33,1
gpt-5,3,400000,15,True,2762.33,2762.33,1
gpt-5,3,400000,15,True,2762.33,2762.33,1
gpt-5,3,400000,15,True,2762.33,2762.33,1
gpt-5,3,400000,15,True,2762.33,2762.33,1
gpt-5,3,400000,15,False,2762.33,2762.33,1
gpt-5,3,400000,15,False,2762.33,2762.33,1
gpt-5,3,400000,15,False,2762.33,2762.33,1
gpt-5,3,400000,15,False,2762.33,2762.33,1
gpt-5,3,400000,15,False,2762.33,2762.33,1
gpt-5,3,400000,30,True,1686.42,1686.42,1
gpt-5,3,400000,30,True,1686.42,1686.42,1
gpt-5,3,400000,30,True,1686.42,1686.42,1
gpt-5,3,400000,30,True,1686.42,1686.42,1
gpt-5,3,400000,30,True,1686.42,1686.42,1
gpt-5,3,400000,30,False,1686.42,1686.42,1
gpt-5,3,400000,30,False,1686.42,1686.42,1
gpt-5,3,400000,30,False,1686.42,1686.42,1
gpt-5,3,400000,30,False,1686.42,1686.42,1
gpt-5,3,400000,30,False,1686.42,1686.42,1
gpt-5,3,500000,15,True,3452.91,3452.91,1
gpt-5,3,500000,15,True,3452.91,3452.91,1
gpt-5,3,500000,15,True,3452.91,3452.91,1
gpt-5,3,500000,15,True,3452.91,3452.91,1
gpt-5,3,500000,15,True,3452.91,3452.91,1
gpt-5,3,500000,15,False,3452.91,3452.91,1
gpt-5,3,500000,15,False,3452.91,3452.91,1
gpt-5,3,500000,15,False,3452.91,3452.91,1
gpt-5,3,500000,15,False,3452.91,3452.91,1
gpt-5,3,500000,15,False,3452.91,3452.91,1
gpt-5,3,500000,30,True,2108.02,2108.02,1
gpt-5,3,500000,30,True,2108.02,2108.02,1
gpt-5,3,500000,30,True,2108.02,2108.02,1
gpt-5,3,500000,30,True,2108.02,2108.02,1
gpt-5,3,500000,30,True,2108.02,2108.02,1
gpt-5,3,500000,30,False,2108.02,2108.02,1
gpt-5,3,500000,30,False,2108.02,2108.02,1
gpt-5,3,500000,30,False,2108.02,2108.02,1
gpt-5,3,500000,30,False,2108.02,2108.02,1
gpt-5,3,500000,30,False,2108.02,2108.02,1
gpt-5,3,600000,15,True,4143.49,4143.49,1
gpt-5,3,600000,15,True,4143.49,4143.49,1
gpt-5,3,600000,15,True,4143.49,4143.49,1
gpt-5,3,600000,15,True,4143.49,4143.49,1
gpt-5,3,600000,15,True,4143.49,4143.49,1
gpt-5,3,600000,15,False,4143.49,4143.49,1
gpt-5,3,600000,15,False,4143.49,4143.49,1
gpt-5,3,600000,15,False,4143.49,4143.49,1
gpt-5,3,600000,15,False,4143.49,4143.49,1
gpt-5,3,600000,15,False,4143.49,4143.49,1
gpt-5,3,600000,30,True,2529.62,2529.62,1
gpt-5,3,600000,30,True,2529.62,2529.62,1
gpt-5,3,600000,30,True,2529.62,2529.62,1
gpt-5,3,600000,30,True,2529.62,2529.62,1
gpt-5,3,600000,30,True,2529.62,2529.62,1
gpt-5,3,600000,30,False,2529.62,2529.62,1
gpt-5,3,600000,30,False,2529.62,2529.62,1
gpt-5,3,600000,30,False,2529.62,2529.62,1
gpt-5,3,600000,30,False,2529.62,2529.62,1
gpt-5,3,600000,30,False,2529.62,2529.62,1
gpt-5,3,700000,15,True,4834.07,4834.07,1
gpt-5,3,700000,15,True,4834.07,4834.07,1
gpt-5,3,700000,15,True,4834.07,4834.07,1
gpt-5,3,700000,15,True,4834.07,4834.07,1
gpt-5,3,700000,15,True,4834.07,4834.07,1
gpt-5,3,700000,15,False,4834.07,4834.07,1
gpt-5,3,700000,15,False,4834.07,4834.07,1
gpt-5,3,700000,15,False,4834.07,4834.07,1
gpt-5,3,700000,15,False,4834.07,4834.06,1
gpt-5,3,700000,15,False,4834.07,4834.07,1
gpt-5,3,700000,30,True,2951.23,2951.23,1
gpt-5,3,700000,30,True,2951.23,2951.23,1
gpt-5,3,700000,30,True,2951.23,2951.23,1
gpt-5,3,700000,30,True,2951.23,2951.23,1
gpt-5,3,700000,30,True,2951.23,2951.23,1
gpt-5,3,700000,30,False,2951.23,2951.18,1
gpt-5,3,700000,30,False,2951.23,2951.2,1
gpt-5,3,700000,30,False,2951.23,2951.23,1
gpt-5,3,700000,30,False,2951.23,2951.23,1
gpt-5,3,700000,30,False,2951.23,2951.23,1
gpt-5,3,800000,15,True,5524.65,5524.65,1
gpt-5,3,800000,15,True,5524.65,5524.65,1
gpt-5,3,800000,15,True,5524.65,5524.65,1
gpt-5,3,800000,15,True,5524.65,5524.65,1
gpt-5,3,800000,15,True,5524.65,5524.65,1
gpt-5,3,800000,15,False,5524.65,5524.65,1
gpt-5,3,800000,15,False,5524.65,5524.65,1
gpt-5,3,800000,15,False,5524.65,5524.65,1
gpt-5,3,800000,15,False,5524.65,5524.65,1
gpt-5,3,800000,15,False,5524.65,5524.65,1
gpt-5,3,800000,30,True,3372.83,3372.83,1
